movie_name,ranking,score,score_num
绿里奇迹,188,8.9,235133
恋恋笔记本,189,8.5,525244
寄生虫,190,8.7,1087069
爱在午夜降临前,191,8.8,274321
哈利·波特与火焰杯,192,8.6,436765
疯狂的石头,193,8.5,640585
恐怖游轮,194,8.5,632659
奇迹男孩,195,8.6,458095
雨中曲,196,9.0,164832
魔女宅急便,197,8.7,367656
二十二,198,8.7,234908
海边的曼彻斯特,199,8.6,385857
房间,200,8.8,313795
虎口脱险,201,8.9,188718
九品芝麻官,202,8.6,466747
人工智能,203,8.7,350713
2001太空漫游,204,8.8,231807
可可西里,205,8.8,235712
色，戒,206,8.5,555045
罗生门,207,8.8,243256
城市之光,208,9.3,105372
终结者2：审判日,209,8.7,278549
初恋这件小事,210,8.4,824477
魂断蓝桥,211,8.8,221782
牯岭街少年杀人事件,212,8.9,206697
遗愿清单,213,8.7,314084
大佛普拉斯,214,8.7,319066
波西米亚狂想曲,215,8.7,459461
新龙门客栈,216,8.6,351677
源代码,217,8.5,658827
青蛇,218,8.6,408946
海洋,219,9.1,137428
燃情岁月,220,8.8,234002
无耻混蛋,221,8.6,381582
疯狂的麦克斯4：狂暴之路,222,8.6,413300
血钻,223,8.7,289587
步履不停,224,8.8,209780
穿越时空的少女,225,8.6,318227
谍影重重2,226,8.7,285826
阿飞正传,227,8.5,396648
彗星来的那一夜,228,8.5,412599
地球上的星星,229,8.9,167107
完美陌生人,230,8.5,438595
战争之王,231,8.7,283525
谍影重重,232,8.6,341590
香水,233,8.5,453831
东京教父,234,9.0,138486
东京物语,235,9.2,104383
千钧一发,236,8.8,205398
朗读者,237,8.6,390341
无间道2,238,8.6,325421
再次出发之纽约遇见你,239,8.6,339138
驴得水,240,8.3,739088
黑客帝国2：重装上阵,241,8.6,299044
崖上的波妞,242,8.5,367876
猜火车,243,8.5,356465
我爱你,244,9.1,127781
浪潮,245,8.7,220527
聚焦,246,8.8,228010
小萝莉的猴神大叔,247,8.4,398491
追随,248,8.9,147411
黑鹰坠落,249,8.7,235514
网络谜踪,250,8.6,423660
